order_number,notification_number,equipment_number,functional_location,order_type,status,priority,maintenance_activity_type,short_text,long_text,created_at_source,required_by_at,started_at,finished_at,total_cost,downtime_hours
WO-2023485,,M-123,PLANT-A/AREA-3/MOTOR-5,PM,closed,high,preventive,Complete scheduled PM on Motor asset 23,Preventive maintenance completed on M-123 with no immediate defect recorded.,2024-08-10T10:00:00+00:00,2024-08-15T10:00:00+00:00,2024-08-10T19:00:00+00:00,2024-08-10T19:30:00+00:00,355.00,0.00
WO-2023486,N-910486,C-140,PLANT-A/AREA-5/COMPRESSOR-8,CM,closed,medium,corrective,Oil carryover on Compressor asset 40,Oil carryover identified on C-140 during operation. Corrective work completed and asset returned to service.,2024-08-11T22:00:00+00:00,2024-08-12T22:00:00+00:00,2024-08-12T08:00:00+00:00,2024-08-12T13:00:00+00:00,3700.00,5.00
WO-2023487,N-910487,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,CMON,closed,high,condition_monitoring,Tube fouling on Heat exchanger asset 07,Tube fouling identified on HX-107 during operation. Corrective work completed and asset returned to service.,2024-08-13T10:00:00+00:00,2024-08-15T10:00:00+00:00,2024-08-13T12:00:00+00:00,2024-08-13T20:30:00+00:00,3265.00,0.00
WO-2023488,N-910488,CV-124,PLANT-A/AREA-4/CONVEYOR-5,CM,closed,high,corrective,Pulley bearing failure on Conveyor asset 24,Pulley bearing failure identified on CV-124 during operation. Corrective work completed and asset returned to service.,2024-08-14T22:00:00+00:00,2024-08-17T22:00:00+00:00,2024-08-15T01:00:00+00:00,2024-08-15T13:00:00+00:00,3930.00,12.00
WO-2023489,,F-141,PLANT-A/AREA-1/FAN-9,PM,closed,high,preventive,Complete scheduled PM on Fan asset 41,Preventive maintenance completed on F-141 with no immediate defect recorded.,2024-08-16T10:00:00+00:00,2024-08-20T10:00:00+00:00,2024-08-16T14:00:00+00:00,2024-08-16T14:30:00+00:00,230.00,0.00
WO-2023490,N-910490,P-108,PLANT-A/AREA-3/PUMP-2,CM,closed,medium,corrective,Cavitation on Pump asset 08,Cavitation identified on P-108 during operation. Corrective work completed and asset returned to service.,2024-08-17T22:00:00+00:00,2024-08-22T22:00:00+00:00,2024-08-18T03:00:00+00:00,2024-08-18T11:00:00+00:00,4160.00,8.00
WO-2023491,,V-125,PLANT-A/AREA-5/VALVE-5,INSP,closed,medium,inspection,Inspect condition of Valve asset 25,Inspection completed on V-125; observations recorded for reliability trending.,2024-08-19T10:00:00+00:00,2024-08-20T10:00:00+00:00,2024-08-19T16:00:00+00:00,2024-08-19T16:30:00+00:00,120.00,0.00
WO-2023492,N-910492,HX-142,PLANT-A/AREA-2/HEAT-EXCHANGER-9,EM,closed,high,emergency,Low heat transfer on Heat exchanger asset 42,Low heat transfer identified on HX-142 during operation. Corrective work completed and asset returned to service.,2024-08-20T22:00:00+00:00,2024-08-22T22:00:00+00:00,2024-08-21T05:00:00+00:00,2024-08-21T09:00:00+00:00,6190.00,4.00
WO-2023493,,M-109,PLANT-A/AREA-4/MOTOR-2,PM,closed,medium,preventive,Complete scheduled PM on Motor asset 09,Preventive maintenance completed on M-109 with no immediate defect recorded.,2024-08-22T10:00:00+00:00,2024-08-25T10:00:00+00:00,2024-08-22T18:00:00+00:00,2024-08-22T18:30:00+00:00,330.00,0.00
WO-2023494,N-910494,C-126,PLANT-A/AREA-1/COMPRESSOR-6,CM,closed,low,corrective,High discharge temperature on Compressor asset 26,High discharge temperature identified on C-126 during operation. Corrective work completed and asset returned to service.,2024-08-18T23:00:00+00:00,2024-08-22T23:00:00+00:00,2024-08-19T08:00:00+00:00,2024-08-19T19:00:00+00:00,4620.00,11.00
WO-2023495,N-910495,P-143,PLANT-A/AREA-3/PUMP-9,EM,closed,medium,emergency,Seal leakage on Pump asset 43,Seal leakage identified on P-143 during operation. Corrective work completed and asset returned to service.,2024-08-20T11:00:00+00:00,2024-08-25T11:00:00+00:00,2024-08-20T21:00:00+00:00,2024-08-21T00:30:00+00:00,6535.00,3.50
WO-2023496,,V-111,PLANT-A/AREA-1/VALVE-3,PM,closed,low,preventive,Complete scheduled PM on Valve asset 11,Preventive maintenance completed on V-111 with no immediate defect recorded.,2024-08-21T23:00:00+00:00,2024-08-22T23:00:00+00:00,2024-08-22T01:00:00+00:00,2024-08-22T01:30:00+00:00,180.00,0.00
WO-2023497,N-910497,HX-128,PLANT-A/AREA-3/HEAT-EXCHANGER-6,CM,closed,high,corrective,Tube leak on Heat exchanger asset 28,Tube leak identified on HX-128 during operation. Corrective work completed and asset returned to service.,2024-08-23T11:00:00+00:00,2024-08-25T11:00:00+00:00,2024-08-23T14:00:00+00:00,2024-08-24T00:30:00+00:00,1400.00,10.50
WO-2023498,N-910498,CV-145,PLANT-A/AREA-5/CONVEYOR-9,CMON,closed,high,condition_monitoring,Belt damage on Conveyor asset 45,Belt damage identified on CV-145 during operation. Corrective work completed and asset returned to service.,2024-08-24T23:00:00+00:00,2024-08-27T23:00:00+00:00,2024-08-25T03:00:00+00:00,2024-08-25T06:00:00+00:00,965.00,0.00
WO-2023499,N-910499,C-112,PLANT-A/AREA-2/COMPRESSOR-3,CM,closed,low,corrective,Low capacity on Compressor asset 12,Low capacity identified on C-112 during operation. Corrective work completed and asset returned to service.,2024-08-26T11:00:00+00:00,2024-08-30T11:00:00+00:00,2024-08-26T16:00:00+00:00,2024-08-26T22:30:00+00:00,1630.00,6.50
WO-2023500,,P-129,PLANT-A/AREA-4/PUMP-6,PM,closed,high,preventive,Complete scheduled PM on Pump asset 29,Preventive maintenance completed on P-129 with no immediate defect recorded.,2024-08-27T23:00:00+00:00,2024-09-01T23:00:00+00:00,2024-08-28T05:00:00+00:00,2024-08-28T05:30:00+00:00,280.00,0.00
WO-2023501,N-910501,V-146,PLANT-A/AREA-1/VALVE-10,CM,closed,medium,corrective,Actuator failure on Valve asset 46,Actuator failure identified on V-146 during operation. Corrective work completed and asset returned to service.,2024-08-29T11:00:00+00:00,2024-08-30T11:00:00+00:00,2024-08-29T18:00:00+00:00,2024-08-29T20:30:00+00:00,1860.00,2.50
WO-2023502,,F-113,PLANT-A/AREA-3/FAN-3,INSP,closed,high,inspection,Inspect condition of Fan asset 13,Inspection completed on F-113; observations recorded for reliability trending.,2024-08-30T23:00:00+00:00,2024-09-01T23:00:00+00:00,2024-08-31T07:00:00+00:00,2024-08-31T07:30:00+00:00,200.00,0.00
WO-2023503,N-910503,M-130,PLANT-A/AREA-5/MOTOR-6,EM,closed,high,emergency,Overheating on Motor asset 30,Overheating identified on M-130 during operation. Corrective work completed and asset returned to service.,2024-09-01T11:00:00+00:00,2024-09-04T11:00:00+00:00,2024-09-01T20:00:00+00:00,2024-09-02T05:30:00+00:00,3890.00,9.50
WO-2023504,,C-147,PLANT-A/AREA-2/COMPRESSOR-10,PM,closed,high,preventive,Complete scheduled PM on Compressor asset 47,Preventive maintenance completed on C-147 with no immediate defect recorded.,2024-09-02T23:00:00+00:00,2024-09-06T23:00:00+00:00,2024-09-03T09:00:00+00:00,2024-09-03T09:30:00+00:00,380.00,0.00
WO-2023505,N-910505,HX-114,PLANT-A/AREA-4/HEAT-EXCHANGER-3,CM,closed,medium,corrective,Tube fouling on Heat exchanger asset 14,Tube fouling identified on HX-114 during operation. Corrective work completed and asset returned to service.,2024-09-04T11:00:00+00:00,2024-09-09T11:00:00+00:00,2024-09-04T13:00:00+00:00,2024-09-04T18:30:00+00:00,2320.00,5.50
WO-2023506,N-910506,CV-131,PLANT-A/AREA-1/CONVEYOR-7,CMON,closed,medium,condition_monitoring,Pulley bearing failure on Conveyor asset 31,Pulley bearing failure identified on CV-131 during operation. Corrective work completed and asset returned to service.,2024-09-05T23:00:00+00:00,2024-09-06T23:00:00+00:00,2024-09-06T02:00:00+00:00,2024-09-06T11:00:00+00:00,1885.00,0.00
WO-2023507,N-910507,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,CM,closed,high,corrective,Low heat transfer on Heat exchanger asset 49,Low heat transfer identified on HX-149 during operation. Corrective work completed and asset returned to service.,2024-09-07T11:00:00+00:00,2024-09-09T11:00:00+00:00,2024-09-07T15:00:00+00:00,2024-09-07T16:30:00+00:00,2550.00,1.50
WO-2023508,N-910508,M-116,PLANT-A/AREA-1/MOTOR-4,CM,closed,high,corrective,Bearing failure on Motor asset 16,Bearing failure identified on M-116 during operation. Corrective work completed and asset returned to service.,2024-09-08T23:00:00+00:00,2024-09-11T23:00:00+00:00,2024-09-09T04:00:00+00:00,2024-09-09T09:00:00+00:00,2665.00,5.00
WO-2023509,N-910509,C-133,PLANT-A/AREA-3/COMPRESSOR-7,CMON,closed,low,condition_monitoring,High discharge temperature on Compressor asset 33,High discharge temperature identified on C-133 during operation. Corrective work completed and asset returned to service.,2024-09-10T11:00:00+00:00,2024-09-14T11:00:00+00:00,2024-09-10T17:00:00+00:00,2024-09-11T01:30:00+00:00,2230.00,0.00
WO-2023510,N-910510,P-150,PLANT-A/AREA-5/PUMP-10,CM,closed,medium,corrective,Seal leakage on Pump asset 50,Seal leakage identified on P-150 during operation. Corrective work completed and asset returned to service.,2024-09-11T23:00:00+00:00,2024-09-16T23:00:00+00:00,2024-09-12T06:00:00+00:00,2024-09-12T18:00:00+00:00,2895.00,12.00
WO-2023511,,CV-117,PLANT-A/AREA-2/CONVEYOR-4,PM,closed,low,preventive,Complete scheduled PM on Conveyor asset 17,Preventive maintenance completed on CV-117 with no immediate defect recorded.,2024-09-08T12:00:00+00:00,2024-09-09T12:00:00+00:00,2024-09-08T20:00:00+00:00,2024-09-08T20:30:00+00:00,330.00,0.00
WO-2023512,N-910512,F-134,PLANT-A/AREA-4/FAN-7,CM,closed,high,corrective,Imbalance on Fan asset 34,Imbalance identified on F-134 during operation. Corrective work completed and asset returned to service.,2024-09-10T00:00:00+00:00,2024-09-12T00:00:00+00:00,2024-09-10T09:00:00+00:00,2024-09-10T17:00:00+00:00,3125.00,8.00
WO-2023513,,P-101,PLANT-A/AREA-1/PUMP-1,INSP,closed,high,inspection,Inspect condition of Pump asset 01,Inspection completed on P-101; observations recorded for reliability trending.,2024-09-11T12:00:00+00:00,2024-09-14T12:00:00+00:00,2024-09-11T22:00:00+00:00,2024-09-11T22:30:00+00:00,140.00,0.00
WO-2023514,N-910514,V-118,PLANT-A/AREA-3/VALVE-4,EM,closed,low,emergency,Stem leakage on Valve asset 18,Stem leakage identified on V-118 during operation. Corrective work completed and asset returned to service.,2024-09-13T00:00:00+00:00,2024-09-17T00:00:00+00:00,2024-09-13T02:00:00+00:00,2024-09-13T06:00:00+00:00,5155.00,4.00
WO-2023515,,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,PM,closed,high,preventive,Complete scheduled PM on Heat exchanger asset 35,Preventive maintenance completed on HX-135 with no immediate defect recorded.,2024-09-14T12:00:00+00:00,2024-09-19T12:00:00+00:00,2024-09-14T15:00:00+00:00,2024-09-14T15:30:00+00:00,205.00,0.00
WO-2023516,N-910516,M-102,PLANT-A/AREA-2/MOTOR-1,CM,closed,medium,corrective,Insulation breakdown on Motor asset 02,Insulation breakdown identified on M-102 during operation. Corrective work completed and asset returned to service.,2024-09-16T00:00:00+00:00,2024-09-17T00:00:00+00:00,2024-09-16T04:00:00+00:00,2024-09-16T15:00:00+00:00,3585.00,11.00
WO-2023517,N-910517,C-119,PLANT-A/AREA-4/COMPRESSOR-4,CMON,closed,high,condition_monitoring,Low capacity on Compressor asset 19,Low capacity identified on C-119 during operation. Corrective work completed and asset returned to service.,2024-09-17T12:00:00+00:00,2024-09-19T12:00:00+00:00,2024-09-17T17:00:00+00:00,2024-09-17T20:30:00+00:00,3150.00,0.00
WO-2023518,N-910518,M-137,PLANT-A/AREA-2/MOTOR-8,CM,closed,high,corrective,Overheating on Motor asset 37,Overheating identified on M-137 during operation. Corrective work completed and asset returned to service.,2024-09-19T00:00:00+00:00,2024-09-22T00:00:00+00:00,2024-09-19T06:00:00+00:00,2024-09-19T13:00:00+00:00,3815.00,7.00
WO-2023519,,V-104,PLANT-A/AREA-4/VALVE-1,PM,closed,high,preventive,Complete scheduled PM on Valve asset 04,Preventive maintenance completed on V-104 with no immediate defect recorded.,2024-09-20T12:00:00+00:00,2024-09-24T12:00:00+00:00,2024-09-20T19:00:00+00:00,2024-09-20T19:30:00+00:00,305.00,0.00
WO-2023520,N-910520,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,CM,closed,medium,corrective,Tube fouling on Heat exchanger asset 21,Tube fouling identified on HX-121 during operation. Corrective work completed and asset returned to service.,2024-09-22T00:00:00+00:00,2024-09-27T00:00:00+00:00,2024-09-22T08:00:00+00:00,2024-09-22T11:00:00+00:00,4045.00,3.00
WO-2023521,N-910521,CV-138,PLANT-A/AREA-3/CONVEYOR-8,CM,closed,medium,corrective,Pulley bearing failure on Conveyor asset 38,Pulley bearing failure identified on CV-138 during operation. Corrective work completed and asset returned to service.,2024-09-23T12:00:00+00:00,2024-09-24T12:00:00+00:00,2024-09-23T21:00:00+00:00,2024-09-24T03:30:00+00:00,4160.00,6.50
WO-2023522,,C-105,PLANT-A/AREA-5/COMPRESSOR-1,PM,closed,medium,preventive,Complete scheduled PM on Compressor asset 05,Preventive maintenance completed on C-105 with no immediate defect recorded.,2024-09-25T00:00:00+00:00,2024-09-27T00:00:00+00:00,2024-09-25T10:00:00+00:00,2024-09-25T10:30:00+00:00,380.00,0.00
WO-2023523,N-910523,P-122,PLANT-A/AREA-2/PUMP-5,CM,closed,high,corrective,Cavitation on Pump asset 22,Cavitation identified on P-122 during operation. Corrective work completed and asset returned to service.,2024-09-26T12:00:00+00:00,2024-09-29T12:00:00+00:00,2024-09-26T14:00:00+00:00,2024-09-26T16:30:00+00:00,4390.00,2.50
WO-2023524,,V-139,PLANT-A/AREA-4/VALVE-8,INSP,closed,low,inspection,Inspect condition of Valve asset 39,Inspection completed on V-139; observations recorded for reliability trending.,2024-09-28T00:00:00+00:00,2024-10-02T00:00:00+00:00,2024-09-28T03:00:00+00:00,2024-09-28T03:30:00+00:00,220.00,0.00
WO-2023525,N-910525,F-106,PLANT-A/AREA-1/FAN-2,EM,closed,medium,emergency,Bearing failure on Fan asset 06,Bearing failure identified on F-106 during operation. Corrective work completed and asset returned to service.,2024-09-29T12:00:00+00:00,2024-10-04T12:00:00+00:00,2024-09-29T16:00:00+00:00,2024-09-30T01:30:00+00:00,6420.00,9.50
WO-2023526,,M-123,PLANT-A/AREA-3/MOTOR-5,PM,closed,low,preventive,Complete scheduled PM on Motor asset 23,Preventive maintenance completed on M-123 with no immediate defect recorded.,2024-10-01T00:00:00+00:00,2024-10-02T00:00:00+00:00,2024-10-01T05:00:00+00:00,2024-10-01T05:30:00+00:00,255.00,0.00
WO-2023527,N-910527,C-140,PLANT-A/AREA-5/COMPRESSOR-8,CM,closed,high,corrective,High discharge temperature on Compressor asset 40,High discharge temperature identified on C-140 during operation. Corrective work completed and asset returned to service.,2024-10-02T12:00:00+00:00,2024-10-04T12:00:00+00:00,2024-10-02T18:00:00+00:00,2024-10-02T23:30:00+00:00,4850.00,5.50
WO-2023528,N-910528,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,CMON,closed,high,condition_monitoring,Low heat transfer on Heat exchanger asset 07,Low heat transfer identified on HX-107 during operation. Corrective work completed and asset returned to service.,2024-09-29T01:00:00+00:00,2024-10-02T01:00:00+00:00,2024-09-29T08:00:00+00:00,2024-09-29T17:00:00+00:00,850.00,0.00
WO-2023529,N-910529,V-125,PLANT-A/AREA-5/VALVE-5,CM,closed,low,corrective,Stem leakage on Valve asset 25,Stem leakage identified on V-125 during operation. Corrective work completed and asset returned to service.,2024-09-30T13:00:00+00:00,2024-10-04T13:00:00+00:00,2024-09-30T21:00:00+00:00,2024-09-30T22:30:00+00:00,1515.00,1.50
WO-2023530,,HX-142,PLANT-A/AREA-2/HEAT-EXCHANGER-9,PM,closed,high,preventive,Complete scheduled PM on Heat exchanger asset 42,Preventive maintenance completed on HX-142 with no immediate defect recorded.,2024-10-02T01:00:00+00:00,2024-10-07T01:00:00+00:00,2024-10-02T10:00:00+00:00,2024-10-02T10:30:00+00:00,355.00,0.00
WO-2023531,N-910531,M-109,PLANT-A/AREA-4/MOTOR-2,CM,closed,medium,corrective,Insulation breakdown on Motor asset 09,Insulation breakdown identified on M-109 during operation. Corrective work completed and asset returned to service.,2024-10-03T13:00:00+00:00,2024-10-04T13:00:00+00:00,2024-10-03T23:00:00+00:00,2024-10-04T07:30:00+00:00,1745.00,8.50
WO-2023532,,C-126,PLANT-A/AREA-1/COMPRESSOR-6,INSP,closed,high,inspection,Inspect condition of Compressor asset 26,Inspection completed on C-126; observations recorded for reliability trending.,2024-10-05T01:00:00+00:00,2024-10-07T01:00:00+00:00,2024-10-05T03:00:00+00:00,2024-10-05T03:30:00+00:00,240.00,0.00
WO-2023533,N-910533,P-143,PLANT-A/AREA-3/PUMP-9,EM,closed,high,emergency,Bearing failure on Pump asset 43,Bearing failure identified on P-143 during operation. Corrective work completed and asset returned to service.,2024-10-06T13:00:00+00:00,2024-10-09T13:00:00+00:00,2024-10-06T16:00:00+00:00,2024-10-06T20:30:00+00:00,3775.00,4.50
WO-2023534,N-910534,CV-110,PLANT-A/AREA-5/CONVEYOR-2,CM,closed,low,corrective,Belt damage on Conveyor asset 10,Belt damage identified on CV-110 during operation. Corrective work completed and asset returned to service.,2024-10-08T01:00:00+00:00,2024-10-12T01:00:00+00:00,2024-10-08T05:00:00+00:00,2024-10-08T13:00:00+00:00,2090.00,8.00
WO-2023535,,F-127,PLANT-A/AREA-2/FAN-6,INSP,closed,medium,inspection,Inspect condition of Fan asset 27,Inspection completed on F-127; observations recorded for reliability trending.,2024-10-09T13:00:00+00:00,2024-10-14T13:00:00+00:00,2024-10-09T18:00:00+00:00,2024-10-09T18:30:00+00:00,160.00,0.00
WO-2023536,N-910536,M-144,PLANT-A/AREA-4/MOTOR-9,EM,closed,medium,emergency,Overheating on Motor asset 44,Overheating identified on M-144 during operation. Corrective work completed and asset returned to service.,2024-10-11T01:00:00+00:00,2024-10-12T01:00:00+00:00,2024-10-11T07:00:00+00:00,2024-10-11T11:00:00+00:00,4120.00,4.00
WO-2023537,,V-111,PLANT-A/AREA-1/VALVE-3,PM,closed,medium,preventive,Complete scheduled PM on Valve asset 11,Preventive maintenance completed on V-111 with no immediate defect recorded.,2024-10-12T13:00:00+00:00,2024-10-14T13:00:00+00:00,2024-10-12T20:00:00+00:00,2024-10-12T20:30:00+00:00,305.00,0.00
WO-2023538,N-910538,HX-128,PLANT-A/AREA-3/HEAT-EXCHANGER-6,CM,closed,high,corrective,Tube fouling on Heat exchanger asset 28,Tube fouling identified on HX-128 during operation. Corrective work completed and asset returned to service.,2024-10-14T01:00:00+00:00,2024-10-17T01:00:00+00:00,2024-10-14T09:00:00+00:00,2024-10-14T20:00:00+00:00,2550.00,11.00
WO-2023539,N-910539,CV-145,PLANT-A/AREA-5/CONVEYOR-9,CMON,closed,low,condition_monitoring,Pulley bearing failure on Conveyor asset 45,Pulley bearing failure identified on CV-145 during operation. Corrective work completed and asset returned to service.,2024-10-15T13:00:00+00:00,2024-10-19T13:00:00+00:00,2024-10-15T22:00:00+00:00,2024-10-16T01:30:00+00:00,2115.00,0.00
WO-2023540,N-910540,F-113,PLANT-A/AREA-3/FAN-3,CM,closed,medium,corrective,Bearing failure on Fan asset 13,Bearing failure identified on F-113 during operation. Corrective work completed and asset returned to service.,2024-10-17T01:00:00+00:00,2024-10-22T01:00:00+00:00,2024-10-17T11:00:00+00:00,2024-10-17T18:00:00+00:00,2780.00,7.00
WO-2023541,,M-130,PLANT-A/AREA-5/MOTOR-6,PM,closed,low,preventive,Complete scheduled PM on Motor asset 30,Preventive maintenance completed on M-130 with no immediate defect recorded.,2024-10-18T13:00:00+00:00,2024-10-19T13:00:00+00:00,2024-10-18T15:00:00+00:00,2024-10-18T15:30:00+00:00,180.00,0.00
WO-2023542,N-910542,C-147,PLANT-A/AREA-2/COMPRESSOR-10,CM,closed,high,corrective,High discharge temperature on Compressor asset 47,High discharge temperature identified on C-147 during operation. Corrective work completed and asset returned to service.,2024-10-20T01:00:00+00:00,2024-10-22T01:00:00+00:00,2024-10-20T04:00:00+00:00,2024-10-20T07:00:00+00:00,3010.00,3.00
WO-2023543,,HX-114,PLANT-A/AREA-4/HEAT-EXCHANGER-3,INSP,closed,high,inspection,Inspect condition of Heat exchanger asset 14,Inspection completed on HX-114; observations recorded for reliability trending.,2024-10-21T13:00:00+00:00,2024-10-24T13:00:00+00:00,2024-10-21T17:00:00+00:00,2024-10-21T17:30:00+00:00,180.00,0.00
WO-2023544,N-910544,CV-131,PLANT-A/AREA-1/CONVEYOR-7,EM,closed,low,emergency,Belt mistracking on Conveyor asset 31,Belt mistracking identified on CV-131 during operation. Corrective work completed and asset returned to service.,2024-10-23T01:00:00+00:00,2024-10-27T01:00:00+00:00,2024-10-23T06:00:00+00:00,2024-10-23T16:00:00+00:00,5040.00,10.00
WO-2023545,,F-148,PLANT-A/AREA-3/FAN-10,PM,closed,high,preventive,Complete scheduled PM on Fan asset 48,Preventive maintenance completed on F-148 with no immediate defect recorded.,2024-10-19T14:00:00+00:00,2024-10-24T14:00:00+00:00,2024-10-19T20:00:00+00:00,2024-10-19T20:30:00+00:00,280.00,0.00
WO-2023546,N-910546,P-115,PLANT-A/AREA-5/PUMP-3,CM,closed,medium,corrective,Seal leakage on Pump asset 15,Seal leakage identified on P-115 during operation. Corrective work completed and asset returned to service.,2024-10-21T02:00:00+00:00,2024-10-22T02:00:00+00:00,2024-10-21T09:00:00+00:00,2024-10-21T15:00:00+00:00,3470.00,6.00
WO-2023547,N-910547,V-132,PLANT-A/AREA-2/VALVE-7,EM,closed,high,emergency,Stem leakage on Valve asset 32,Stem leakage identified on V-132 during operation. Corrective work completed and asset returned to service.,2024-10-22T14:00:00+00:00,2024-10-24T14:00:00+00:00,2024-10-22T22:00:00+00:00,2024-10-23T07:30:00+00:00,5385.00,9.50
WO-2023548,,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,PM,closed,medium,preventive,Complete scheduled PM on Heat exchanger asset 49,Preventive maintenance completed on HX-149 with no immediate defect recorded.,2024-10-24T02:00:00+00:00,2024-10-27T02:00:00+00:00,2024-10-24T11:00:00+00:00,2024-10-24T11:30:00+00:00,355.00,0.00
WO-2023549,N-910549,M-116,PLANT-A/AREA-1/MOTOR-4,CM,closed,low,corrective,Insulation breakdown on Motor asset 16,Insulation breakdown identified on M-116 during operation. Corrective work completed and asset returned to service.,2024-10-25T14:00:00+00:00,2024-10-29T14:00:00+00:00,2024-10-26T00:00:00+00:00,2024-10-26T05:30:00+00:00,3815.00,5.50
WO-2023550,N-910550,C-133,PLANT-A/AREA-3/COMPRESSOR-7,CMON,closed,medium,condition_monitoring,Low capacity on Compressor asset 33,Low capacity identified on C-133 during operation. Corrective work completed and asset returned to service.,2024-10-27T02:00:00+00:00,2024-11-01T02:00:00+00:00,2024-10-27T04:00:00+00:00,2024-10-27T13:00:00+00:00,3380.00,0.00
WO-2023551,N-910551,P-101,PLANT-A/AREA-1/PUMP-1,CM,closed,medium,corrective,Bearing failure on Pump asset 01,Bearing failure identified on P-101 during operation. Corrective work completed and asset returned to service.,2024-10-28T14:00:00+00:00,2024-10-29T14:00:00+00:00,2024-10-28T17:00:00+00:00,2024-10-28T18:30:00+00:00,4045.00,1.50
WO-2023552,,V-118,PLANT-A/AREA-3/VALVE-4,PM,closed,medium,preventive,Complete scheduled PM on Valve asset 18,Preventive maintenance completed on V-118 with no immediate defect recorded.,2024-10-30T02:00:00+00:00,2024-11-01T02:00:00+00:00,2024-10-30T06:00:00+00:00,2024-10-30T06:30:00+00:00,230.00,0.00
WO-2023553,N-910553,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,CM,closed,high,corrective,Tube fouling on Heat exchanger asset 35,Tube fouling identified on HX-135 during operation. Corrective work completed and asset returned to service.,2024-10-31T14:00:00+00:00,2024-11-03T14:00:00+00:00,2024-10-31T19:00:00+00:00,2024-11-01T03:30:00+00:00,4275.00,8.50
WO-2023554,,M-102,PLANT-A/AREA-2/MOTOR-1,INSP,closed,low,inspection,Inspect condition of Motor asset 02,Inspection completed on M-102; observations recorded for reliability trending.,2024-11-02T02:00:00+00:00,2024-11-06T02:00:00+00:00,2024-11-02T08:00:00+00:00,2024-11-02T08:30:00+00:00,120.00,0.00
WO-2023555,N-910555,C-119,PLANT-A/AREA-4/COMPRESSOR-4,EM,closed,medium,emergency,Oil carryover on Compressor asset 19,Oil carryover identified on C-119 during operation. Corrective work completed and asset returned to service.,2024-11-03T14:00:00+00:00,2024-11-08T14:00:00+00:00,2024-11-03T21:00:00+00:00,2024-11-04T01:30:00+00:00,6305.00,4.50
WO-2023556,,P-136,PLANT-A/AREA-1/PUMP-8,PM,closed,low,preventive,Complete scheduled PM on Pump asset 36,Preventive maintenance completed on P-136 with no immediate defect recorded.,2024-11-05T02:00:00+00:00,2024-11-06T02:00:00+00:00,2024-11-05T10:00:00+00:00,2024-11-05T10:30:00+00:00,330.00,0.00
WO-2023557,N-910557,CV-103,PLANT-A/AREA-3/CONVEYOR-1,CM,closed,high,corrective,Pulley bearing failure on Conveyor asset 03,Pulley bearing failure identified on CV-103 during operation. Corrective work completed and asset returned to service.,2024-11-06T14:00:00+00:00,2024-11-08T14:00:00+00:00,2024-11-06T23:00:00+00:00,2024-11-07T10:30:00+00:00,4735.00,11.50
WO-2023558,N-910558,F-120,PLANT-A/AREA-5/FAN-4,CMON,closed,high,condition_monitoring,Bearing failure on Fan asset 20,Bearing failure identified on F-120 during operation. Corrective work completed and asset returned to service.,2024-11-08T02:00:00+00:00,2024-11-11T02:00:00+00:00,2024-11-08T12:00:00+00:00,2024-11-08T16:00:00+00:00,4300.00,0.00
WO-2023559,N-910559,M-137,PLANT-A/AREA-2/MOTOR-8,CM,closed,low,corrective,Bearing failure on Motor asset 37,Bearing failure identified on M-137 during operation. Corrective work completed and asset returned to service.,2024-11-09T14:00:00+00:00,2024-11-13T14:00:00+00:00,2024-11-09T16:00:00+00:00,2024-11-09T23:30:00+00:00,1400.00,7.50
WO-2023560,N-910560,V-104,PLANT-A/AREA-4/VALVE-1,CM,closed,medium,corrective,Passing valve on Valve asset 04,Passing valve identified on V-104 during operation. Corrective work completed and asset returned to service.,2024-11-11T02:00:00+00:00,2024-11-16T02:00:00+00:00,2024-11-11T05:00:00+00:00,2024-11-11T16:00:00+00:00,1515.00,11.00
WO-2023561,N-910561,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,CMON,closed,medium,condition_monitoring,Low heat transfer on Heat exchanger asset 21,Low heat transfer identified on HX-121 during operation. Corrective work completed and asset returned to service.,2024-11-12T14:00:00+00:00,2024-11-13T14:00:00+00:00,2024-11-12T18:00:00+00:00,2024-11-12T21:30:00+00:00,1080.00,0.00
WO-2023562,N-910562,V-139,PLANT-A/AREA-4/VALVE-8,CM,closed,high,corrective,Stem leakage on Valve asset 39,Stem leakage identified on V-139 during operation. Corrective work completed and asset returned to service.,2024-11-09T03:00:00+00:00,2024-11-11T03:00:00+00:00,2024-11-09T08:00:00+00:00,2024-11-09T15:00:00+00:00,1745.00,7.00
WO-2023563,,F-106,PLANT-A/AREA-1/FAN-2,PM,closed,medium,preventive,Complete scheduled PM on Fan asset 06,Preventive maintenance completed on F-106 with no immediate defect recorded.,2024-11-10T15:00:00+00:00,2024-11-13T15:00:00+00:00,2024-11-10T21:00:00+00:00,2024-11-10T21:30:00+00:00,280.00,0.00
